forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 01:11:22+00:00,2025-11-05 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,4.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,7.0,7.0,7.0,7.0,50.0,47.0,30.0,0.0,0.0,1.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,100.0,76.0,88.0,28.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,24.0,44.0,50.0,96.0,100.0,100.0,100.0,100.0,100.0,17.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,68.0,100.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,23.0,35.0,23.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-06 00:56:56+00:00,2025-11-06 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,100.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,2.0,6.0,10.0,10.0,8.0,3.0,0.0,1.0,4.0,0.0,0.0,5.0,30.0,9.0,16.0,64.0,100.0,5.0,5.0,100.0,0.0,100.0,10.0,12.0,16.0,43.0,14.0,5.0,6.0,50.0,56.0,51.0,43.0,65.0,100.0,100.0,94.0,100.0,100.0,0.0,100.0,100.0,100.0,69.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,80.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,4.0,6.0,8.0,25.0,41.0,58.0,49.0,41.0,32.0,21.0,11.0
2025-11-07 00:54:57+00:00,2025-11-07 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,2.0,5.0,16.0,21.0,28.0,34.0,100.0,100.0,100.0,100.0,72.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,68.0,100.0,100.0,100.0,100.0,100.0,68.0,100.0,100.0,4.0,100.0,98.0,100.0,100.0,96.0,67.0,62.0,76.0,38.0,43.0,43.0,10.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,65.0,100.0,100.0,100.0,83.0,100.0,100.0,100.0,46.0,100.0,100.0,25.0,77.0,53.0,0.0,0.0,0.0,0.0,35.0,100.0,100.0,100.0,100.0,6.0,6.0,7.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,5.0,3.0,2.0,0.0,10.0,19.0,29.0,39.0,50.0,60.0,40.0,20.0,0.0,0.0,0.0,0.0,2.0,3.0,5.0,3.0,2.0,0.0,1.0,1.0
2025-11-08 00:50:20+00:00,2025-11-08 00:00:00+00:00,100.0,100.0,100.0,100.0,33.0,2.0,2.0,42.0,54.0,88.0,55.0,100.0,100.0,100.0,79.0,55.0,89.0,46.0,29.0,20.0,11.0,6.0,0.0,2.0,2.0,0.0,0.0,0.0,7.0,6.0,92.0,0.0,3.0,11.0,19.0,100.0,6.0,7.0,9.0,32.0,20.0,4.0,13.0,60.0,61.0,11.0,87.0,18.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,0.0,5.0,6.0,5.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,39.0,59.0,39.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,39.0,58.0,70.0,81.0,93.0,93.0,94.0,94.0,84.0,74.0,64.0,43.0,23.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-09 00:56:42+00:00,2025-11-09 00:00:00+00:00,9.0,27.0,24.0,56.0,52.0,48.0,46.0,37.0,11.0,2.0,1.0,0.0,1.0,1.0,3.0,10.0,27.0,100.0,100.0,100.0,96.0,3.0,1.0,1.0,14.0,4.0,9.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,6.0,2.0,1.0,4.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,10.0,5.0,0.0,0.0,6.0,6.0,6.0,5.0,6.0,11.0,6.0,8.0,43.0,16.0,13.0,7.0,100.0,100.0,11.0,15.0,11.0,5.0,4.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.0,57.0,41.0,0.0,0.0,2.0,4.0,6.0,24.0,43.0,61.0,53.0,46.0,38.0,25.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,7.0,9.0,12.0,11.0,10.0,9.0,9.0,8.0,8.0,7.0,5.0
2025-11-10 00:58:21+00:00,2025-11-10 00:00:00+00:00,45.0,0.0,2.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,3.0,0.0,3.0,3.0,25.0,64.0,100.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,10.0,84.0,83.0,7.0,0.0,5.0,5.0,0.0,11.0,10.0,0.0,0.0,5.0,5.0,8.0,6.0,5.0,8.0,13.0,96.0,8.0,12.0,12.0,6.0,17.0,98.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,37.0,5.0,0.0,6.0,8.0,100.0,48.0,10.0,5.0,12.0,70.0,100.0,100.0,100.0,6.0,5.0,50.0,100.0,100.0,6.0,6.0,6.0,5.0,3.0,2.0,0.0,0.0,0.0,0.0,2.0,3.0,5.0,4.0,4.0,3.0,2.0,1.0,0.0,5.0,9.0,14.0,22.0,31.0,39.0,28.0,17.0,6.0,4.0,2.0,0.0,0.0,0.0,0.0,11.0,21.0,32.0,22.0,12.0,2.0,13.0,25.0,36.0,32.0,27.0,23.0,47.0,71.0,95.0,87.0,79.0,71.0,81.0,90.0,100.0,100.0,100.0
2025-11-11 00:54:36+00:00,2025-11-11 00:00:00+00:00,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,4.0,3.0,6.0,0.0,0.0,0.0,0.0,3.0,34.0,24.0,0.0,0.0,0.0,7.0,56.0,22.0,11.0,13.0,14.0,13.0,11.0,71.0,87.0,16.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,10.0,30.0,100.0,100.0,100.0,100.0,100.0,100.0,8.0,6.0,34.0,8.0,100.0,100.0,6.0,7.0,6.0,6.0,50.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,35.0,53.0,47.0,41.0,35.0,26.0,16.0,7.0,5.0,4.0,2.0,1.0,1.0,0.0,1.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,4.0,6.0,7.0,8.0,8.0,9.0,13.0,18.0,22.0,15.0,7.0,0.0,0.0,0.0
2025-11-12 00:55:34+00:00,2025-11-12 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,27.0,6.0,22.0,73.0,11.0,5.0,0.0,0.0,0.0,1.0,2.0,2.0,3.0,3.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,93.0,87.0,100.0,100.0,100.0,100.0,59.0,100.0,94.0,6.0,61.0,6.0,6.0,6.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,31.0,44.0,65.0,10.0,11.0,15.0,12.0,52.0,100.0,100.0,100.0,100.0,100.0,54.0,12.0,7.0,19.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,8.0,14.0,19.0,36.0,52.0,69.0,70.0,71.0,72.0,53.0,35.0,16.0,12.0,7.0,3.0,2.0,1.0,0.0,1.0,1.0,2.0,4.0,5.0,7.0,5.0,4.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,12.0,23.0,35.0,57.0,78.0,100.0,85.0,69.0,54.0,68.0,81.0,95.0,74.0,54.0
2025-11-13 01:11:13+00:00,2025-11-13 00:00:00+00:00,2.0,0.0,1.0,10.0,26.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,100.0,100.0,97.0,100.0,9.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,11.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,31.0,100.0,100.0,10.0,6.0,100.0,100.0,8.0,12.0,100.0,24.0,14.0,75.0,14.0,69.0,84.0,32.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,10.0,12.0,55.0,63.0,80.0,37.0,33.0,15.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,18.0,36.0,54.0,37.0,19.0,2.0,9.0,15.0,22.0,15.0,9.0,2.0,35.0,67.0,100.0,99.0,99.0,98.0,69.0,39.0,10.0,14.0,19.0,23.0,38.0,54.0,69.0,79.0,90.0,100.0,89.0,78.0,67.0,78.0,89.0,100.0,80.0,59.0,39.0,36.0,34.0,31.0,47.0,63.0,79.0,86.0,93.0,100.0,82.0,63.0
2025-11-14 00:55:40+00:00,2025-11-14 00:00:00+00:00,2.0,1.0,88.0,4.0,55.0,30.0,53.0,50.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,100.0,100.0,68.0,100.0,11.0,12.0,22.0,49.0,100.0,100.0,66.0,13.0,100.0,62.0,19.0,13.0,13.0,9.0,12.0,7.0,6.0,0.0,10.0,0.0,0.0,0.0,0.0,38.0,42.0,11.0,5.0,9.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,56.0,58.0,91.0,66.0,15.0,25.0,16.0,58.0,91.0,56.0,100.0,99.0,100.0,0.0,21.0,100.0,100.0,11.0,6.0,9.0,25.0,11.0,27.0,10.0,6.0,56.0,100.0,92.0,80.0,23.0,18.0,91.0,68.0,44.0,21.0,47.0,74.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,87.0,74.0,61.0,48.0,35.0,22.0,26.0,29.0,33.0,38.0,42.0,47.0,65.0,82.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,79.0,57.0,36.0,47.0,59.0,70.0,80.0,90.0,100.0,94.0,87.0,81.0,84.0,87.0,90.0,85.0,79.0,74.0,73.0,72.0
