forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h
2025-09-22,2025-09-22 05:00:00+00:00,8950,8680,8506,8427,8533,8927,9537,10021,10335,10636,10988,11329,11651,11966,12191,12368,12486,12487,12257,11936,11571,11046,10348,9686,9216,8900,8685,8595,8683,9044,9605,10057,10321,10563,10891,11225,11540,11843,12008,12106,12159,12127,11898,11621,11328,10856,10214,9612,9132,8793,8586,8504,8607,9003,9593,9999,10175,10321,10527,10732,10937,11182,11338,11427,11476,11457,11280,11056,10831,10418,9835,9268,8846,8553,8370,8286,8383,8765,9347,9745,9911,10044,10236,10393,10536,10719,10837,10894,10907,10864,10739,10622,10463,10028,9442,8889,11591,11591,11591,11591,11591,11591,11591,11591,11591,11591,11591,11591,11591,11591,11591,11591,11591,11591,11591,11591,11591,11591,11591,11591
2025-09-22,2025-09-22 05:00:00+00:00,8950,8680,8506,8427,8533,8927,9537,10021,10335,10636,10988,11329,11651,11966,12191,12368,12486,12487,12257,11936,11571,11046,10348,9686,9216,8900,8685,8595,8683,9044,9605,10057,10321,10563,10891,11225,11540,11843,12008,12106,12159,12127,11898,11621,11328,10856,10214,9612,9132,8793,8586,8504,8607,9003,9593,9999,10175,10321,10527,10732,10937,11182,11338,11427,11476,11457,11280,11056,10831,10418,9835,9268,8846,8553,8370,8286,8383,8765,9347,9745,9911,10044,10236,10393,10536,10719,10837,10894,10907,10864,10739,10622,10463,10028,9442,8889,11591,11591,11591,11591,11591,11591,11591,11591,11591,11591,11591,11591,11591,11591,11591,11591,11591,11591,11591,11591,11591,11591,11591,11591
2025-09-22,2025-09-22 05:00:00+00:00,8950,8680,8506,8427,8533,8927,9537,10021,10335,10636,10988,11329,11651,11966,12191,12368,12486,12487,12257,11936,11571,11046,10348,9686,9216,8900,8685,8595,8683,9044,9605,10057,10321,10563,10891,11225,11540,11843,12008,12106,12159,12127,11898,11621,11328,10856,10214,9612,9132,8793,8586,8504,8607,9003,9593,9999,10175,10321,10527,10732,10937,11182,11338,11427,11476,11457,11280,11056,10831,10418,9835,9268,8846,8553,8370,8286,8383,8765,9347,9745,9911,10044,10236,10393,10536,10719,10837,10894,10907,10864,10739,10622,10463,10028,9442,8889,11591,11591,11591,11591,11591,11591,11591,11591,11591,11591,11591,11591,11591,11591,11591,11591,11591,11591,11591,11591,11591,11591,11591,11591
2025-09-23,2025-09-23 05:00:00+00:00,9395,9063,8839,8729,8811,9164,9714,10159,10432,10704,11075,11440,11764,12058,12204,12276,12304,12235,11969,11670,11364,10852,10195,9586,9121,8798,8603,8528,8634,9031,9609,10012,10204,10363,10571,10769,10958,11180,11317,11383,11407,11378,11215,11001,10773,10348,9762,9194,8778,8500,8333,8261,8368,8758,9344,9742,9916,10058,10259,10433,10596,10811,10957,11033,11051,11023,10891,10756,10585,10152,9553,8980,8591,8338,8192,8138,8240,8592,9131,9546,9778,9976,10221,10457,10677,10925,11122,11234,11246,11144,10886,10592,10333,9968,9433,8882,10656,10656,10656,10656,10656,10656,10656,10656,10656,10656,10656,10656,10656,10656,10656,10656,10656,10656,10656,10656,10656,10656,10656,10656
2025-09-30,2025-09-30 05:00:00+00:00,9643,9283,9042,8935,9012,9351,9885,10338,10678,11055,11576,12176,12751,13287,13640,13843,13888,13728,13303,12760,12245,11638,10853,10091,9566,9230,9015,8924,9008,9350,9901,10349,10630,10900,11283,11700,12153,12583,12842,12947,12957,12893,12594,12169,11692,11152,10483,9833,9372,9060,8862,8792,8897,9268,9874,10345,10657,10963,11389,11859,12361,12847,13142,13255,13242,13143,12858,12437,11961,11465,10767,10089,9591,9256,9031,8922,8998,9328,9845,10284,10640,11030,11527,12025,12506,12945,13177,13206,13160,13045,12745,12329,11909,11469,10825,10189,9617,9191,8883,8678,8601,8648,8807,9111,9567,10018,10486,10962,11396,11783,12051,12227,12310,12241,11982,11634,11266,10859,10298,9726,12207,12207,12207,12207,12207,12207,12207,12207,12207,12207,12207,12207,12207,12207,12207,12207,12207,12207,12207,12207,12207,12207,12207,12207
2025-10-09,2025-10-09 05:00:00+00:00,8382,8242,8172,8199,8362,8772,9439,9855,9907,9848,9832,9842,9859,9927,9987,10031,10088,10128,10115,10001,9798,9465,9025,8590,8327,8180,8104,8130,8265,8603,9169,9650,9756,9722,9734,9735,9737,9788,9826,9864,9934,9946,9843,9670,9443,9146,8758,8349,8024,7801,7650,7552,7532,7613,7822,8140,8405,8650,8858,9000,9080,9218,9380,9529,9680,9727,9663,9571,9354,9044,8644,8264,7981,7787,7681,7658,7662,7725,7881,8072,8285,8568,8849,9121,9393,9699,9956,10178,10371,10476,10412,10310,10048,9594,9050,8555,11572,11572,11572,11572,11572,11572,11572,11572,11572,11572,11572,11572,11572,11572,11572,11572,11572,11572,11572,11572,11572,11572,11572,11572
2025-10-10,2025-10-10 05:00:00+00:00,8331,8192,8122,8146,8274,8606,9172,9669,9810,9786,9762,9736,9713,9724,9728,9730,9778,9789,9718,9561,9365,9091,8731,8342,8029,7822,7684,7580,7550,7629,7851,8185,8464,8691,8860,8967,9024,9133,9274,9415,9561,9612,9564,9495,9298,9007,8624,8253,7975,7784,7668,7650,7658,7708,7828,8049,8319,8635,8933,9205,9453,9752,10018,10241,10441,10517,10397,10300,10058,9624,9075,8571,8254,8071,7962,7934,8045,8407,9028,9566,9852,10062,10330,10579,10839,11076,11231,11300,11339,11297,11116,10969,10645,10127,9507,8969,11326,11326,11326,11326,11326,11326,11326,11326,11326,11326,11326,11326,11326,11326,11326,11326,11326,11326,11326,11326,11326,11326,11326,11326
2025-10-11,2025-10-11 05:00:00+00:00,7980,7761,7627,7560,7554,7628,7829,8125,8361,8587,8793,8904,8955,9040,9134,9240,9347,9385,9342,9295,9126,8834,8446,8079,7805,7618,7520,7525,7551,7621,7785,8008,8218,8467,8731,8956,9147,9385,9613,9812,10015,10117,10065,10041,9804,9404,8920,8461,8155,7982,7886,7876,8003,8358,8956,9495,9771,9936,10132,10331,10529,10749,10891,10959,11000,10962,10832,10714,10417,9906,9310,8772,8421,8208,8056,8025,8140,8528,9212,9753,9960,10056,10223,10369,10585,10814,10923,10946,10983,10963,10814,10697,10393,9901,9308,8792,11987,11987,11987,11987,11987,11987,11987,11987,11987,11987,11987,11987,11987,11987,11987,11987,11987,11987,11987,11987,11987,11987,11987,11987
2025-10-12,2025-10-12 05:00:00+00:00,7883,7715,7635,7657,7703,7782,7941,8130,8319,8541,8772,8964,9151,9390,9652,9902,10150,10266,10198,10117,9871,9469,8982,8513,8191,7997,7882,7875,7998,8335,8916,9448,9745,9941,10150,10347,10505,10640,10735,10761,10804,10771,10686,10530,10240,9755,9181,8670,8319,8107,7972,7955,8092,8531,9273,9761,9861,9885,10021,10127,10246,10359,10440,10471,10481,10438,10365,10276,10021,9603,9102,8625,8307,8111,8005,8004,8137,8529,9207,9697,9838,9881,10004,10092,10172,10266,10350,10387,10391,10394,10356,10250,9999,9591,9111,8652,10728,10728,10728,10728,10728,10728,10728,10728,10728,10728,10728,10728,10728,10728,10728,10728,10728,10728,10728,10728,10728,10728,10728,10728
2025-10-13,2025-10-13 05:00:00+00:00,8205,8022,7924,7911,8033,8374,8969,9497,9777,9933,10092,10241,10350,10446,10561,10624,10667,10632,10541,10412,10134,9677,9128,8642,8307,8108,7979,7982,8127,8545,9266,9764,9878,9904,10034,10149,10283,10432,10535,10578,10586,10540,10450,10342,10076,9648,9131,8638,8311,8112,7999,8000,8136,8519,9187,9686,9835,9873,9993,10097,10184,10279,10354,10382,10386,10393,10360,10242,9994,9582,9088,8620,8321,8147,8058,8062,8208,8627,9344,9803,9886,9901,9986,10084,10179,10310,10418,10479,10494,10434,10342,10223,10002,9649,9199,8762,10519,10519,10519,10519,10519,10519,10519,10519,10519,10519,10519,10519,10519,10519,10519,10519,10519,10519,10519,10519,10519,10519,10519,10519
