forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 00:52:13+00:00,2025-11-05 00:00:00+00:00,100.0,100.0,100.0,100.0,100.0,100.0,100.0,71.0,7.0,100.0,99.0,100.0,100.0,100.0,100.0,100.0,62.0,100.0,78.0,100.0,100.0,100.0,95.0,100.0,100.0,100.0,100.0,80.0,100.0,100.0,100.0,100.0,100.0,100.0,51.0,16.0,32.0,8.0,17.0,40.0,85.0,100.0,100.0,12.0,79.0,88.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,77.0,20.0,62.0,100.0,100.0,100.0,84.0,48.0,100.0,60.0,100.0,99.0,12.0,18.0,16.0,18.0,78.0,23.0,100.0,77.0,9.0,45.0,43.0,23.0,100.0,20.0,100.0,100.0,100.0,76.0,89.0,57.0,99.0,100.0,100.0,100.0,100.0,100.0,100.0,96.0,100.0,96.0,90.0,84.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.0,99.0,98.0,99.0,99.0,100.0,100.0,100.0,100.0,99.0,98.0,97.0,98.0,99.0
2025-11-06 00:53:01+00:00,2025-11-06 00:00:00+00:00,92.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,79.0,100.0,88.0,69.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,97.0,100.0,100.0,93.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.0,85.0,88.0,100.0,100.0,100.0,100.0,100.0,94.0,100.0,95.0,72.0,49.0,14.0,22.0,12.0,18.0,16.0,27.0,84.0,26.0,18.0,82.0,100.0,100.0,100.0,80.0,100.0,100.0,64.0,95.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,46.0,100.0,42.0,93.0,95.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,90.0,81.0,71.0,81.0,90.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,90.0,79.0,69.0,54.0,40.0,25.0,18.0,10.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,22.0,45.0,67.0,78.0,89.0,100.0,99.0,98.0,97.0,98.0,99.0,100.0,100.0,100.0
2025-11-07 00:52:09+00:00,2025-11-07 00:00:00+00:00,83.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,12.0,73.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,64.0,47.0,100.0,100.0,100.0,100.0,100.0,100.0,18.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,97.0,100.0,57.0,100.0,100.0,100.0,100.0,100.0,100.0,95.0,99.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,97.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,77.0,100.0,70.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.0,100.0,66.0,100.0,100.0,48.0,49.0,100.0,100.0,100.0,100.0,100.0,100.0,99.0,99.0,98.0,84.0,70.0,56.0,39.0,21.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,23.0,35.0,57.0,78.0,100.0,100.0,99.0,99.0,89.0,78.0,68.0,62.0,56.0,50.0,56.0,63.0,69.0,55.0,41.0,27.0,40.0,52.0,65.0,77.0,88.0,100.0,100.0,99.0,99.0,99.0,100.0,100.0,100.0,100.0
2025-11-08 00:47:52+00:00,2025-11-08 00:00:00+00:00,1.0,3.0,0.0,50.0,29.0,15.0,12.0,44.0,2.0,0.0,13.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,9.0,100.0,100.0,100.0,100.0,100.0,100.0,97.0,73.0,98.0,100.0,99.0,100.0,98.0,99.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,90.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,14.0,80.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.0,100.0,100.0,100.0,100.0,100.0,100.0,75.0,19.0,100.0,20.0,100.0,100.0,100.0,83.0,34.0,100.0,100.0,100.0,100.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,93.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,76.0,51.0,27.0,43.0,59.0,75.0,83.0,92.0,100.0,96.0,92.0,88.0,71.0,55.0,38.0,53.0,69.0,84.0,89.0,95.0,100.0,96.0,91.0,87.0,91.0,96.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,96.0,91.0,87.0,81.0,74.0,68.0,79.0,89.0
2025-11-09 00:54:30+00:00,2025-11-09 00:00:00+00:00,1.0,10.0,2.0,8.0,16.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,83.0,92.0,100.0,100.0,100.0,100.0,100.0,98.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,83.0,65.0,48.0,53.0,59.0,64.0,76.0,88.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2025-11-10 00:55:33+00:00,2025-11-10 00:00:00+00:00,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.0,100.0,98.0,85.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,94.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,93.0,89.0,100.0,73.0,93.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,70.0,94.0,100.0,89.0,77.0,87.0,60.0,99.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,96.0,91.0,87.0,86.0,85.0,84.0,89.0,95.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.0,99.0
2025-11-11 00:52:21+00:00,2025-11-11 00:00:00+00:00,7.0,100.0,94.0,13.0,6.0,15.0,78.0,1.0,93.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,94.0,100.0,95.0,64.0,96.0,61.0,100.0,18.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,97.0,78.0,13.0,97.0,100.0,100.0,100.0,100.0,75.0,6.0,0.0,11.0,89.0,23.0,61.0,74.0,100.0,6.0,12.0,11.0,83.0,16.0,27.0,20.0,61.0,82.0,91.0,85.0,88.0,100.0,100.0,100.0,100.0,27.0,43.0,59.0,75.0,62.0,50.0,37.0,27.0,18.0,8.0,27.0,46.0,65.0,76.0,86.0,97.0,74.0,52.0,29.0,27.0,25.0,23.0,32.0,41.0,50.0,50.0,50.0,50.0,67.0,83.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,89.0,77.0,66.0,77.0,89.0,100.0,79.0,59.0,38.0,31.0,23.0,16.0,26.0,36.0
2025-11-12 00:53:12+00:00,2025-11-12 00:00:00+00:00,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,15.0,87.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,97.0,100.0,100.0,100.0,99.0,47.0,38.0,17.0,17.0,6.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0,6.0,7.0,41.0,79.0,100.0,69.0,25.0,100.0,100.0,82.0,5.0,97.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,81.0,100.0,100.0,100.0,100.0,100.0,95.0,19.0,5.0,5.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.0,97.0,95.0,97.0,98.0,100.0,79.0,59.0,38.0,29.0,19.0,10.0,8.0,6.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0
2025-11-13 00:51:58+00:00,2025-11-13 00:00:00+00:00,97.0,95.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,43.0,11.0,100.0,95.0,78.0,98.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,84.0,86.0,61.0,0.0,0.0,100.0,4.0,100.0,1.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,97.0,37.0,6.0,6.0,20.0,61.0,71.0,100.0,23.0,11.0,12.0,11.0,7.0,0.0,0.0,0.0,6.0,6.0,68.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,94.0,100.0,100.0,46.0,100.0,67.0,100.0,100.0,100.0,100.0,100.0,100.0,31.0,13.0,84.0,100.0,100.0,100.0,88.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,86.0,73.0,59.0,64.0,70.0,75.0,76.0,78.0,79.0,69.0,59.0,49.0,35.0,22.0,8.0,9.0,9.0,10.0,20.0,29.0,39.0,30.0,22.0,13.0,19.0,24.0,30.0,27.0,24.0,21.0,44.0,68.0
2025-11-14 00:52:22+00:00,2025-11-14 00:00:00+00:00,100.0,100.0,100.0,100.0,100.0,100.0,100.0,14.0,100.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,100.0,83.0,75.0,40.0,13.0,55.0,80.0,5.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,15.0,10.0,0.0,10.0,74.0,66.0,89.0,16.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.0,100.0,98.0,72.0,50.0,27.0,10.0,22.0,46.0,100.0,53.0,8.0,8.0,7.0,7.0,7.0,7.0,7.0,7.0,17.0,28.0,38.0,59.0,79.0,100.0,100.0,100.0,100.0,77.0,55.0,32.0,23.0,15.0,6.0,6.0,5.0,5.0,4.0,3.0,2.0,4.0,6.0,8.0,39.0,69.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,74.0,48.0,22.0,22.0,22.0,22.0,48.0,74.0
