forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 02:39:02+00:00,2025-11-05 00:00:00+00:00,43.0,85.0,4.0,11.0,10.0,13.0,13.0,7.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,8.0,97.0,78.0,99.0,100.0,94.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,31.0,30.0,6.0,9.0,100.0,5.0,6.0,46.0,67.0,9.0,17.0,88.0,100.0,100.0,100.0,100.0,100.0,86.0,27.0,51.0,90.0,93.0,96.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,18.0,88.0,100.0,100.0,100.0,100.0,9.0,100.0,13.0,98.0,100.0,6.0,5.0,16.0,5.0,10.0,10.0,12.0,13.0,11.0,11.0,31.0,40.0,100.0,100.0,100.0,100.0,100.0,100.0,88.0,77.0,65.0,53.0,41.0,61.0,80.0,100.0,100.0,100.0,100.0,91.0,83.0,74.0,78.0,83.0,87.0,79.0,72.0,64.0,76.0,88.0,100.0,91.0,83.0,74.0,81.0,88.0,95.0,97.0,98.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.0,96.0,94.0,94.0,94.0,94.0,80.0,67.0,53.0,50.0,46.0,43.0,62.0,80.0
2025-11-06 02:30:23+00:00,2025-11-06 00:00:00+00:00,8.0,86.0,83.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,44.0,66.0,19.0,96.0,1.0,19.0,8.0,15.0,100.0,94.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,80.0,100.0,100.0,100.0,54.0,6.0,6.0,6.0,6.0,12.0,100.0,100.0,93.0,91.0,88.0,94.0,96.0,100.0,95.0,91.0,74.0,12.0,13.0,11.0,10.0,10.0,11.0,0.0,5.0,10.0,5.0,10.0,11.0,13.0,51.0,84.0,100.0,96.0,100.0,38.0,77.0,100.0,100.0,100.0,44.0,100.0,91.0,88.0,100.0,95.0,11.0,5.0,5.0,5.0,10.0,5.0,16.0,21.0,56.0,97.0,25.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,92.0,83.0,75.0,83.0,92.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,83.0,67.0,50.0,35.0,19.0,4.0,23.0,41.0,60.0,70.0,80.0,90.0,75.0,60.0,45.0,63.0,82.0,100.0,90.0,81.0,71.0,49.0,28.0,6.0,8.0,11.0,13.0,41.0,70.0,98.0,97.0,96.0,95.0,97.0,98.0
2025-11-07 02:28:23+00:00,2025-11-07 00:00:00+00:00,99.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,24.0,7.0,62.0,24.0,44.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,17.0,100.0,100.0,100.0,32.0,8.0,38.0,100.0,28.0,7.0,1.0,44.0,58.0,40.0,10.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,18.0,6.0,11.0,8.0,6.0,5.0,8.0,11.0,11.0,16.0,49.0,100.0,58.0,31.0,100.0,100.0,100.0,21.0,79.0,95.0,100.0,100.0,94.0,41.0,21.0,19.0,16.0,5.0,10.0,0.0,8.0,15.0,11.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,20.0,100.0,100.0,100.0,100.0,48.0,10.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,5.0,3.0,3.0,4.0,4.0,6.0,7.0,9.0,7.0,6.0,4.0,19.0,33.0,48.0,34.0,21.0,7.0,5.0,2.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,16.0,31.0,47.0,65.0,82.0,100.0,90.0,81.0,71.0,49.0,26.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,13.0,19.0,21.0,24.0
2025-11-08 02:17:21+00:00,2025-11-08 00:00:00+00:00,100.0,100.0,0.0,0.0,0.0,0.0,6.0,27.0,100.0,15.0,36.0,5.0,3.0,40.0,100.0,100.0,2.0,0.0,0.0,0.0,0.0,22.0,93.0,39.0,20.0,6.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,88.0,19.0,7.0,13.0,7.0,7.0,4.0,54.0,33.0,6.0,0.0,0.0,6.0,5.0,101.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,81.0,23.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,6.0,6.0,0.0,5.0,8.0,7.0,8.0,8.0,7.0,13.0,10.0,32.0,16.0,15.0,10.0,13.0,6.0,0.0,0.0,0.0,0.0,2.0,3.0,5.0,27.0,48.0,70.0,80.0,90.0,100.0,94.0,87.0,81.0,56.0,32.0,7.0,6.0,6.0,5.0,22.0,38.0,55.0,49.0,44.0,38.0,25.0,13.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,3.0,4.0,12.0,20.0,28.0,48.0,69.0,89.0,92.0,96.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2025-11-09 02:38:30+00:00,2025-11-09 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,93.0,0.0,0.0,1.0,7.0,100.0,20.0,2.0,93.0,79.0,7.0,11.0,0.0,0.0,0.0,9.0,22.0,76.0,98.0,64.0,93.0,100.0,100.0,100.0,100.0,89.0,92.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,10.0,6.0,11.0,13.0,100.0,100.0,73.0,19.0,15.0,17.0,54.0,45.0,54.0,69.0,82.0,100.0,99.0,88.0,69.0,69.0,27.0,45.0,100.0,100.0,93.0,100.0,100.0,100.0,100.0,100.0,100.0,97.0,19.0,22.0,6.0,7.0,9.0,58.0,8.0,0.0,7.0,7.0,12.0,18.0,25.0,31.0,23.0,15.0,7.0,23.0,38.0,54.0,69.0,85.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,86.0,71.0,57.0,65.0,74.0,82.0,81.0,79.0,78.0,67.0,56.0,45.0,63.0,82.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2025-11-10 02:30:26+00:00,2025-11-10 00:00:00+00:00,0.0,0.0,0.0,13.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,88.0,97.0,80.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,91.0,37.0,100.0,96.0,89.0,5.0,3.0,16.0,0.0,1.0,46.0,100.0,90.0,80.0,43.0,13.0,0.0,0.0,0.0,0.0,47.0,17.0,7.0,6.0,10.0,11.0,11.0,72.0,100.0,88.0,100.0,45.0,100.0,32.0,13.0,13.0,11.0,11.0,12.0,44.0,49.0,90.0,98.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,46.0,100.0,100.0,100.0,75.0,18.0,7.0,0.0,7.0,24.0,8.0,79.0,10.0,8.0,6.0,6.0,7.0,99.0,63.0,10.0,76.0,95.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.0,96.0,94.0,96.0,98.0,100.0,79.0,57.0,36.0,36.0,35.0,35.0,46.0,57.0,68.0,79.0,89.0,100.0,97.0,94.0,91.0,88.0,86.0,83.0,88.0,93.0,98.0,98.0,97.0,97.0,98.0,99.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.0,95.0
2025-11-11 02:19:47+00:00,2025-11-11 00:00:00+00:00,4.0,1.0,1.0,35.0,100.0,95.0,41.0,81.0,31.0,79.0,87.0,6.0,6.0,10.0,7.0,18.0,97.0,36.0,90.0,93.0,82.0,8.0,1.0,11.0,96.0,81.0,100.0,100.0,100.0,100.0,100.0,100.0,34.0,12.0,40.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,76.0,20.0,15.0,87.0,13.0,12.0,5.0,0.0,0.0,0.0,0.0,0.0,10.0,6.0,7.0,6.0,12.0,14.0,14.0,30.0,6.0,0.0,6.0,6.0,6.0,0.0,6.0,8.0,8.0,7.0,50.0,87.0,71.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.0,96.0,94.0,96.0,98.0,100.0,97.0,95.0,92.0,89.0,85.0,82.0,71.0,61.0,50.0,40.0,29.0,19.0,24.0,30.0,35.0,27.0,20.0,12.0,12.0,13.0,13.0,27.0,40.0,54.0,54.0,54.0,54.0,65.0,77.0,88.0,73.0,59.0,44.0,48.0,52.0,56.0,71.0,85.0,100.0,100.0,100.0,100.0,100.0,100.0
2025-11-12 02:22:41+00:00,2025-11-12 00:00:00+00:00,0.0,0.0,0.0,0.0,8.0,100.0,100.0,100.0,100.0,100.0,100.0,94.0,95.0,69.0,91.0,82.0,4.0,54.0,7.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,16.0,3.0,1.0,0.0,0.0,0.0,25.0,40.0,11.0,37.0,9.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,6.0,70.0,33.0,59.0,53.0,57.0,94.0,91.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,83.0,100.0,100.0,63.0,100.0,100.0,100.0,97.0,100.0,91.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,22.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.0,97.0,96.0,97.0,99.0,100.0,92.0,84.0,76.0,79.0,81.0,84.0,89.0,95.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.0,99.0
2025-11-13 02:40:36+00:00,2025-11-13 00:00:00+00:00,99.0,99.0,54.0,8.0,100.0,100.0,100.0,23.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,60.0,44.0,52.0,50.0,4.0,0.0,1.0,0.0,0.0,3.0,8.0,9.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,4.0,0.0,0.0,1.0,0.0,34.0,93.0,94.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,20.0,45.0,17.0,11.0,11.0,11.0,100.0,100.0,100.0,100.0,100.0,100.0,29.0,100.0,12.0,86.0,75.0,76.0,7.0,29.0,94.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,53.0,100.0,100.0,100.0,63.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,60.0,58.0,79.0,25.0,46.0,67.0,88.0,92.0,96.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.0,97.0,95.0,90.0,86.0
2025-11-14 02:23:41+00:00,2025-11-14 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,8.0,73.0,73.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,48.0,100.0,100.0,100.0,100.0,25.0,17.0,100.0,50.0,100.0,100.0,100.0,67.0,84.0,8.0,0.0,1.0,16.0,2.0,7.0,28.0,36.0,40.0,27.0,8.0,80.0,19.0,8.0,5.0,7.0,11.0,25.0,73.0,56.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,96.0,92.0,40.0,19.0,18.0,16.0,18.0,69.0,100.0,10.0,13.0,44.0,53.0,62.0,71.0,53.0,36.0,18.0,25.0,31.0,38.0,58.0,78.0,98.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.0,97.0,96.0,89.0,82.0,75.0,83.0,92.0,100.0,100.0,100.0
