forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 02:38:54+00:00,2025-11-05 00:00:00+00:00,90.0,116.56499,42.878906,328.39255,270.0,270.0,246.0375,231.34016,258.6901,270.0,253.30067,244.98314,199.79897,218.65984,244.44008,250.70985,264.2895,195.6423,183.57626,183.41652,189.96375,198.43504,208.7397,222.35739,224.9999,185.7105,165.65063,157.1663,157.01126,31.159245,57.99466,21.801476,6.842679,145.30478,149.62096,164.57777,153.43501,254.05453,116.56499,191.30989,262.1468,266.906,289.5732,287.47485,290.80685,300.25635,295.46332,289.53674,210.0685,237.09476,206.56499,216.86998,158.96242,154.98314,153.43501,148.39255,147.52882,150.9455,150.9455,174.2895,153.43501,163.61038,159.44388,159.44388,176.98727,209.7448,228.50363,236.97612,242.35411,247.3801,243.43501,242.96922,244.35904,251.56496,252.1212,247.5741,252.78384,254.8141,257.96942,259.93936,264.92047,261.02747,254.05453,296.56497,311.63345,296.56497,320.7106,294.44394,291.03757,315.0001,336.3706,354.2895,344.05453,357.5105,360.0,14.743609,42.510403,71.564964,108.43504,106.699326,90.0,110.55613,94.76356,105.945465,95.19434,82.875084,63.435013,84.2895,102.5288,90.0,82.875084,77.4712,63.435013,90.0,119.74479,116.56499,315.0001,323.13,341.56494,9.462248,33.6901,63.435013,97.12492,113.962494,116.56499,116.56499,111.801476,108.43504,102.5288,97.12492,90.0,90.0,90.0,97.12492,104.03627,110.55613,108.43504,90.0,63.435013,270.0,206.56499,213.6901,206.56499,44.999897,71.564964,111.801476,139.39879,147.52882,149.74365,149.74365,149.74365,149.74365,143.97253,143.97253,143.97253,143.97253,143.97253,140.71062,140.19447,140.19447,145.30478,148.39255,158.96242,180.0,215.53777,237.99466,230.19447,198.43504
2025-11-06 02:30:11+00:00,2025-11-06 00:00:00+00:00,160.20103,153.43501,169.31514,156.61476,171.38443,344.7448,24.102238,44.999897,56.768288,99.46225,132.13753,145.30478,180.0,171.25392,138.01286,139.76372,224.9999,278.13,266.906,274.66678,288.8248,281.5138,284.85864,282.5288,236.3099,195.52417,145.78424,126.86999,117.18103,113.962494,121.50421,135.0001,129.80553,167.90526,156.57129,145.92276,137.64261,129.2894,127.47626,141.84273,158.87521,192.80426,183.57626,129.80553,207.47435,224.9999,233.13002,256.60748,171.46931,248.83867,258.9063,260.69012,259.69522,261.57312,252.25523,218.15727,190.00792,191.30989,192.5288,180.0,187.12492,180.0,198.43504,161.56496,90.0,243.43501,326.3099,355.60138,337.1663,357.3975,349.69522,19.653913,38.65983,140.19447,108.43504,135.0001,114.44395,113.19862,105.25517,113.19862,108.43504,95.7105,106.699326,97.12492,75.96373,104.03627,113.962494,71.564964,126.86999,108.43504,44.999897,135.0001,315.0001,343.3007,343.3007,10.304792,6.3401003,51.34017,116.56499,119.05451,130.60121,124.992096,138.81418,119.05451,122.00535,116.56499,111.801476,114.44395,128.65984,126.86999,122.00535,129.80553,141.34016,153.43501,173.6599,188.13002,206.56499,236.3099,213.6901,189.46225,173.6599,169.6952,162.89719,160.34608,156.80138,156.80138,156.80138,156.80138,153.43501,153.43501,153.43501,158.19853,162.64589,164.47583,164.05453,171.46931,201.03758,262.8751,282.5288,284.74362,285.46127,283.49576,280.17545,267.27374,221.18582,184.39862,176.6336,171.46931,167.19574,167.19574,164.74483,164.74483,164.74483,164.05453,160.70985,157.1663,153.43501,147.99466,146.3099,144.46223,150.64235,161.56496,171.02745,190.6196,219.80553,237.26477,233.97253,203.19862
2025-11-07 02:28:13+00:00,2025-11-07 00:00:00+00:00,240.2552,124.159744,121.701385,119.93143,114.44395,115.277695,119.357666,127.18479,118.39293,113.38525,116.56499,113.198616,155.85446,141.34016,139.93929,139.51407,140.4774,160.46326,244.65387,239.30035,193.49574,252.89719,214.0194,200.55612,119.29127,119.05451,136.12321,143.84172,184.96965,221.82008,185.19434,133.53127,145.49142,94.96966,59.03632,59.03632,54.246033,46.97493,8.130019,270.0,307.87503,352.40543,10.784258,8.97255,21.801476,20.224945,26.564985,351.63422,46.636536,270.0,333.43503,170.53775,113.19862,116.56499,110.55613,98.13002,78.6901,90.0,95.19434,90.0,75.96373,84.2895,104.03627,90.0,98.13002,75.96373,333.43503,26.564985,320.1945,326.3099,331.38962,360.0,360.0,11.3098955,135.0001,140.19447,130.60121,135.0001,122.00535,116.56499,116.56499,105.945465,111.801476,106.699326,116.56499,102.5288,97.12492,116.56499,135.0001,135.0001,236.3099,210.96368,213.6901,231.34016,236.3099,224.9999,191.30989,164.05453,161.56496,140.19447,157.3801,156.80138,166.75948,165.06853,167.00539,165.06853,161.56496,162.64589,173.6599,162.64589,160.55988,161.56496,168.69011,180.0,270.0,275.44025,273.57626,273.17978,273.814,276.0089,270.0,216.86998,161.56496,156.80138,157.61983,159.77505,163.30067,165.96373,168.69011,171.02745,168.11136,164.47583,161.56496,160.55988,159.44388,159.44388,160.55988,164.47583,173.6599,205.01686,240.94548,256.50424,267.79745,277.4313,285.52417,275.7105,189.46225,153.43501,150.2552,153.43501,156.80138,154.98314,156.3706,154.7989,154.7989,152.10283,150.64235,149.03632,144.46223,144.46223,149.03632,152.10283,158.74942,167.4712,176.42374,183.57626,183.3664,176.98727
2025-11-08 02:17:12+00:00,2025-11-08 00:00:00+00:00,60.255207,84.805664,123.690094,146.3099,167.90526,220.60121,151.38963,139.08571,146.3099,102.26476,52.765083,47.862484,52.431335,15.945477,300.96368,307.87503,278.74606,317.4896,337.1663,315.0001,44.999897,23.198618,21.037588,9.462261,28.810698,50.710617,49.398785,341.56494,309.8055,210.96368,208.30066,170.53775,180.0,224.9999,198.43504,213.6901,260.53775,326.3099,135.0001,206.56499,270.0,281.3099,303.6901,335.55606,352.40543,356.98727,7.12493,9.462248,306.86996,360.0,135.0001,129.80553,135.0001,125.537766,119.74479,125.537766,113.19862,108.43504,83.659904,90.0,99.46225,116.56499,125.537766,143.13002,139.39879,153.43501,209.7448,270.0,251.56496,255.96373,261.87,270.0,258.6901,194.03627,172.87508,156.80138,141.34016,159.44388,153.43501,164.05453,167.4712,173.6599,151.38963,169.3804,169.3804,155.22488,151.69934,153.43501,288.43503,306.86996,285.6423,271.78986,279.46225,283.39252,292.47946,283.24054,301.60745,360.0,159.44388,164.05453,167.00539,155.55606,151.38963,146.3099,140.19447,139.76372,137.72638,140.19447,140.19447,140.71062,158.19853,160.70985,162.64589,180.0,216.02747,249.77505,262.6477,268.45187,271.73566,274.76355,277.59454,261.87,168.69011,138.81418,135.0001,141.34016,147.52882,146.3099,150.2552,149.03632,149.03632,151.92761,151.92761,153.43501,154.7989,158.74942,161.56496,167.4712,183.3664,219.09384,240.94548,251.07526,259.046,272.72626,289.9832,270.0,172.87508,161.56496,161.56496,167.4712,171.02745,171.46931,171.46931,171.46931,170.53775,165.06853,162.89719,162.89719,167.00539,171.25392,170.53775,168.69011,192.5288,233.74606,247.01126,248.87521,246.64441,242.8504
2025-11-09 02:38:22+00:00,2025-11-09 00:00:00+00:00,53.13002,53.530666,11.888645,333.43503,236.3099,222.5104,213.6901,231.34016,206.56499,180.0,180.0,161.56496,108.43504,213.6901,315.0001,333.43503,360.0,300.96368,320.1945,337.3801,345.9637,360.0,356.42374,354.80566,275.7105,258.6901,251.56496,203.19862,206.56499,201.80147,189.46225,206.56499,270.0,296.56497,191.30989,233.13002,270.0,270.0,234.46223,255.96373,262.8751,116.56499,341.56494,12.99463,95.19434,20.556128,297.64587,260.53775,237.72438,194.03627,184.08554,180.0,175.60138,165.96373,167.00539,158.19853,169.99208,183.01273,183.01273,180.0,156.0375,131.18582,135.0001,157.3801,180.0,294.44394,276.84268,274.28906,285.3763,288.9705,259.8754,252.47433,228.01286,201.03758,163.61038,168.11136,163.30067,168.69011,159.44388,156.3706,154.98314,152.10283,152.10283,153.43501,154.7989,156.0375,156.0375,153.43501,154.7989,170.53775,188.97255,213.6901,231.34016,236.3099,257.4712,267.27374,274.76355,180.0,130.60121,149.74365,155.22488,132.5104,149.53453,145.6196,153.43501,152.35411,146.97614,147.72438,152.24155,153.43501,142.59457,144.78232,147.72438,158.19853,165.2564,177.5105,187.52373,193.29858,193.44862,187.12492,175.42616,169.6952,168.46541,169.7779,174.55975,181.87784,187.59456,186.0541,182.32149,182.4895,197.10281,279.09018,315.0001,319.0857,317.1211,270.0,257.4712,261.87,263.92764,267.70944,272.3859,276.63242,280.0079,282.80426,288.43503,284.03625,135.0001,146.3099,186.3401,214.69522,223.02507,213.6901,188.13002,164.05453,162.64589,171.46931,177.5105,184.39862,192.09474,200.77234,211.60745,226.33215,238.17259,241.78273,242.5925,243.43501,245.69547,248.5522
2025-11-10 02:30:15+00:00,2025-11-10 00:00:00+00:00,338.19852,243.43501,170.53775,153.43501,191.30989,198.43504,180.0,248.19853,146.3099,206.56499,63.435013,255.96373,270.0,270.0,255.96373,243.43501,262.8751,315.0001,333.43503,360.0,79.69521,280.78424,261.11942,219.09384,169.6952,114.775116,153.43501,198.43504,159.44388,122.471176,112.036285,110.854546,119.29127,129.80553,133.21011,129.2894,129.61066,130.426,119.74479,124.69522,126.384445,145.30478,130.60121,23.962492,307.87503,292.5206,288.43503,283.57043,201.80147,135.0001,164.74483,162.64589,154.7989,154.7989,157.61983,157.61983,167.4712,159.77505,153.43501,154.7989,157.1663,157.61983,160.70985,158.19853,154.98314,158.62932,184.57384,189.46225,210.0685,221.63345,218.991,204.77512,185.19434,170.53775,176.186,176.42374,167.90526,156.3706,158.19853,154.5367,145.6196,149.03632,157.75093,156.50142,153.43501,152.35411,151.1893,140.90616,153.43501,161.0295,170.27249,177.5105,175.03035,190.84026,191.07016,199.65392,191.30989,160.9743,178.05856,184.93913,188.42688,191.0409,195.81926,191.9761,200.11267,234.7275,303.6901,274.96964,298.0724,302.00534,312.27362,44.999897,170.53775,273.57626,283.0919,282.9074,285.1541,286.46008,291.80148,302.47116,315.0001,306.86996,165.96373,164.05453,170.53775,213.6901,255.96373,258.6901,245.55606,232.12495,198.43504,149.03632,135.0001,135.0001,180.0,284.03625,291.80148,291.3707,291.80148,289.85532,288.43503,287.19864,286.8585,287.52567,284.03625,270.0,260.53775,251.56496,243.43501,243.43501,180.0,180.0,180.0,180.0,180.0,189.46225,188.13002,180.0,174.80566,171.86998,170.53775,171.86998,170.13426,166.60748,157.61983,150.2552,151.69934,157.3801
2025-11-11 02:19:39+00:00,2025-11-11 00:00:00+00:00,96.70974,111.541046,125.537766,131.18582,117.979385,131.18582,119.57774,124.3804,113.35559,118.21727,124.43905,140.82635,128.36752,118.1785,124.50858,140.71062,132.13753,124.3804,115.01687,48.814175,24.775122,332.24155,294.44394,295.46332,360.0,98.530685,123.11135,154.65387,164.3577,147.52882,153.43501,173.8846,186.3401,180.0,169.56258,159.27437,165.06853,194.03627,191.30989,197.52567,206.56499,173.41815,164.74483,172.09293,226.16905,194.5345,244.8852,255.37909,242.24155,190.3048,171.25392,172.87508,176.42374,169.3804,159.44388,143.13002,150.2552,159.77505,152.24155,150.9455,148.57048,147.09476,156.80139,156.80139,153.43501,163.73972,169.8754,180.0,181.59111,181.59111,188.3658,174.55975,156.0375,159.77505,147.99466,143.13002,129.47243,131.18582,140.52757,147.52882,153.43501,160.9743,158.62932,154.44008,148.24057,145.0079,150.64235,129.80553,53.13002,261.87,90.0,180.0,181.68465,193.73628,200.32323,196.9276,132.5104,135.0001,141.34016,77.00539,71.564964,71.564964,71.564964,156.80138,180.0,212.47118,190.3048,135.0001,140.71062,150.9455,172.87508,188.13002,249.44386,289.9832,273.814,291.80148,304.21576,308.15726,307.87503,304.82455,300.96368,300.46545,300.96368,301.60745,303.6901,306.02747,308.65982,307.87503,310.60123,309.8055,320.1945,324.46225,324.46225,315.0001,296.56497,285.94547,291.80148,298.30066,302.00534,302.27563,300.57913,299.4758,296.56497,290.22495,284.93146,275.19434,251.56496,206.56499,170.53775,150.2552,147.99466,159.44388,180.0,189.46225,170.53775,140.19447,130.60121,130.60121,130.60121,140.19447,161.56496,189.46225,218.65984,246.80138,263.6599,280.30478,291.03757,300.96368
2025-11-12 02:22:32+00:00,2025-11-12 00:00:00+00:00,360.0,123.690094,117.40749,126.86999,116.56499,139.76372,150.64235,224.9999,183.57626,188.61557,168.69011,195.94547,215.21768,222.27362,204.77512,194.93147,234.46223,306.86996,201.80147,184.39862,216.38445,228.57643,238.67136,206.56499,152.6502,146.76828,154.35904,205.34613,180.0,165.2564,175.23645,155.37645,129.98683,137.04541,147.99466,187.59456,156.80139,164.2913,161.56496,172.30405,180.0,170.18077,189.63747,199.79897,202.13554,215.21768,214.50858,206.56499,163.0091,174.2895,162.3498,162.3498,150.5242,144.46223,144.46223,149.42085,159.44388,158.19853,167.90526,164.57777,161.56496,156.80138,155.22488,162.89719,175.91446,201.57137,213.95909,218.92755,227.95085,233.13002,231.009,219.0355,232.0012,180.0,177.5105,175.23645,160.55988,151.1893,139.76372,109.98319,153.43501,190.3048,180.0,177.39749,167.73524,183.01273,180.0,167.00539,156.80138,165.06853,180.0,209.35765,222.5104,236.3099,239.74365,233.13002,239.0363,90.0,98.13002,157.3801,127.875046,161.56496,90.0,99.46225,109.98319,90.0,97.12492,108.43504,50.194473,56.309914,57.99466,68.19853,44.999897,29.054508,11.3098955,336.0375,302.47116,291.80148,293.1986,304.9921,315.0001,299.74478,270.0,251.56496,253.30067,259.69522,264.80566,259.69522,258.6901,251.56496,258.6901,264.80566,264.2895,254.05453,213.6901,153.43501,146.3099,156.0375,150.9455,129.80553,71.564964,44.999897,29.744795,9.462248,341.56494,224.9999,192.5288,188.13002,187.12492,190.6196,187.12492,175.91446,161.56496,147.52882,148.39255,157.61983,160.70985,156.80139,152.35411,153.43501,160.82089,173.15732,184.23631,193.57045,199.53674,201.16133,195.06854,176.98727
2025-11-13 02:40:28+00:00,2025-11-13 00:00:00+00:00,38.65983,170.53775,243.43501,344.05453,203.19862,243.43501,152.52565,150.80261,156.19405,172.09293,164.62369,158.96242,154.65387,167.79955,167.61925,176.72958,207.55272,185.7105,174.61078,187.12492,201.54105,200.09532,195.78082,221.82008,151.69934,144.46223,145.75092,145.37578,149.98172,157.0362,152.24155,146.82147,145.08052,144.3601,148.09193,150.14108,155.48038,155.29759,148.86108,152.48808,151.0491,175.91446,202.6199,230.85602,242.04912,244.5367,250.0168,245.09526,169.99208,208.30066,229.39879,223.53127,234.86572,233.13002,170.53775,175.03035,195.94547,210.96368,216.86998,203.9625,195.94547,180.0,168.69011,161.56496,138.81418,160.0168,210.96368,265.60138,285.25516,291.3707,293.1986,300.25635,331.38962,21.801476,113.19862,125.537766,113.962494,104.03627,44.999897,56.309914,96.340096,156.80139,90.0,59.03632,90.0,109.98319,164.74483,175.23645,188.53069,197.52567,180.0,203.7495,232.12495,263.6599,311.18582,311.18582,324.6887,342.25522,33.6901,99.46225,224.9999,236.3099,75.96373,224.9999,302.00534,296.56497,270.0,261.87,248.19853,180.0,188.13002,171.86998,104.03627,135.0001,180.0,176.42374,172.87508,168.69011,169.3804,173.29025,172.87508,164.74483,135.0001,90.0,105.945465,126.86999,135.0001,137.4896,139.39879,141.34016,149.03632,161.56496,172.40544,171.86998,165.96373,161.56496,167.90526,176.82024,182.86235,185.44025,185.44025,185.7105,186.00891,186.3401,190.6196,199.65392,212.47118,224.9999,224.9999,180.0,108.43504,90.0,90.0,270.0,243.43501,216.86998,224.9999,255.96373,308.65982,320.1945,308.65982,270.0,230.19447,210.96368,203.19862,199.44012,193.24052,188.13002
2025-11-14 02:23:32+00:00,2025-11-14 00:00:00+00:00,172.69434,137.4896,153.97047,160.0168,158.19853,156.21796,147.40742,147.46495,145.58157,147.05078,147.52882,146.3099,144.6598,144.16226,147.09476,146.92932,153.9247,156.80139,213.17853,218.91148,222.22972,217.61403,220.0302,226.97493,231.58191,193.62701,144.46223,138.23979,141.84273,143.88057,138.57643,135.0001,127.74687,129.98683,133.7812,136.63654,133.53127,139.39879,153.43501,160.55988,228.81418,231.34016,122.00535,143.97253,135.0001,16.699326,37.568665,47.72637,47.12111,23.962492,75.96373,108.43504,124.992096,95.7105,100.30479,96.340096,296.56497,156.0375,122.471176,59.03632,41.185837,44.999897,29.054508,60.255207,80.53775,119.74479,180.0,167.4712,128.15727,90.0,53.13002,303.6901,326.3099,302.7352,293.6294,284.74362,262.40546,195.25517,199.29015,201.03758,184.08554,172.40544,155.55606,176.82024,185.7105,187.76508,174.80566,180.0,187.59456,219.80553,219.47243,187.59456,171.86998,175.91446,167.00539,141.34016,138.81418,122.00535,83.659904,74.054535,116.56499,119.05451,90.0,104.03627,90.0,75.96373,63.435013,71.564964,77.4712,57.99466,77.4712,68.19853,57.99466,48.814175,42.27363,31.607454,18.435053,14.931467,19.653913,32.471172,48.366554,60.94549,75.96373,110.55613,141.84273,148.39255,152.74475,156.80138,167.4712,191.30989,206.56499,203.19862,194.03627,185.7105,175.23645,175.60138,190.3048,220.60121,253.30067,270.0,278.13,282.09473,287.1028,289.9832,288.43503,270.0,233.13002,198.43504,194.03627,198.43504,203.9625,209.0545,220.60121,224.9999,231.34016,255.96373,270.0,243.43501,206.56499,201.80147,206.56499,236.3099,270.0,291.80148,315.0001,324.46225,339.44388,353.6599
